7 83 1079 3.0000733788744665 0.12723282200022368 [-0.0005597351593139444, -1.0002212814939273]
0 27 351 3.000049810052528 0.04091373400115117 [0.0004638822342744016, -0.9999408140388716]
3 43 559 3.0000436588777104 0.06445696899936593 [-0.00023241900863291273, -1.000328097949864]
2 59 767 3.000216777865108 0.07321935800064239 [-0.0009811634235383504, -1.0002296124930825]
0 21 273 3.0000155652977187 0.026166260000536568 [-0.00026213215522571053, -1.0000500158655765]
9 133 1729 3.0001032509967347 0.17172125400065852 [0.00012294993699968446, -1.0004498246452267]
2 60 780 3.000132108341997 0.08757986899945536 [0.0007662341935385235, -0.9997982434542863]
1 41 533 3.000165587769606 0.05682436899951426 [-0.0002125077195276959, -1.00065272870234]
4 83 1079 3.0002515317146683 0.09805132300061814 [0.0006828520325949355, -1.000411162927333]
2 40 520 3.00028965437904 0.051390762000664836 [-0.0007039174333428608, -0.9995329817991703]
1 29 377 3.000103671609336 0.04494067399900814 [-0.00021183366323785323, -0.9995873167816574]
3 55 715 3.0001563110200435 0.07357678900007159 [-0.0003845672601326794, -0.9995620798289625]
0 27 351 3.000296512701658 0.031014477001008345 [0.00047515796404922275, -0.9991266765119112]
4 46 598 3.0003876903063134 0.05088456599878555 [-0.0005661240675434347, -1.0009957300231227]
0 21 273 3.000242005519745 0.02898142500089307 [0.0009750956409011208, -0.9995004462469796]
1 50 650 3.0001303346973764 0.06907236900042335 [0.0006783741288808834, -1.0000791175427526]
5 61 793 3.000357463941718 0.07559714699891629 [-5.863476104415945e-05, -1.0009227653107633]
4 63 819 3.0003674403996388 0.09408416199948988 [0.0008557168715672766, -0.9991005331317552]
1 47 611 3.0001917141278462 0.06115560499893036 [-0.0004726091098292144, -1.000690131496272]
2 55 715 3.000237423400055 0.06211543199970038 [0.0009212661770522198, -0.9994410597165231]
6 91 1183 3.0001670163865706 0.10854720300085319 [-0.0008188078277253166, -1.000397508800714]
7 125 1625 3.0003142014471913 0.1504522260001977 [0.0007426045352085103, -0.9991504918909517]
9 147 1911 3.0000018183250416 0.17793840000013006 [6.150634757788251e-05, -0.9999373049618007]
0 22 286 3.0002133983438037 0.028632837998884497 [-0.0008798281100531866, -1.0005206568859237]
0 22 286 3.0001038774568705 0.028222229000675725 [0.00024690737349547016, -0.9994813035654423]
2 49 637 3.000349670116604 0.05315747100030421 [-0.00025229800152616264, -1.0009436563040932]
11 187 2431 3.000084913154753 0.21830168499946012 [9.19783959465112e-05, -1.0004151964029928]
2 35 455 3.000311097165422 0.04042934400058584 [-0.0011651475755968183, -1.0004034687428178]
1 36 468 3.000387743267793 0.03867559099853679 [-0.0013010927186736406, -1.000448554981326]
1 34 442 3.0003854866111173 0.03655454899853794 [0.0009097603736758599, -0.9990927702195885]
15 194 2522 3.000039009099948 0.2348069840008975 [0.00015399436220662425, -0.999682262444906]
0 21 273 3.0003202335344734 0.02516561099946557 [-0.0011402283350502715, -1.0005370288088427]
1 34 442 3.000229612668372 0.04509766800038051 [0.00014280253171188202, -0.999242257171303]
5 50 650 3.0003173815895208 0.06508658599886985 [0.0011862557445069704, -0.9997477456752246]
5 94 1222 3.0003954329076277 0.11914808999972593 [0.0001812900215813788, -0.9990063823140921]
3 73 949 3.000082546013486 0.09569734300021082 [-0.000502115871316455, -0.9998808366858936]
2 40 520 3.000011642952495 0.048026014999777544 [-0.00019425818443760505, -1.0001339581924698]
2 53 689 3.0000620075360658 0.0742012459995749 [-0.00038512302895636705, -1.0003536303565075]
1 39 507 3.0003423672266907 0.052967183000873774 [0.0011826983674492315, -0.9999567214478737]
0 27 351 3.0000034315707813 0.035638253999422886 [-0.00010197172755841344, -0.9999752073748093]
11 201 2613 3.000003227304652 0.24583629700100573 [-2.788119144900747e-05, -1.0000910240114582]
5 87 1131 3.0001920460555134 0.09536883600048895 [-0.00019055990448628261, -1.000699788735539]
5 109 1417 3.0000792988667855 0.11904566099838121 [-0.0005490070950550019, -0.999974056532164]
5 97 1261 3.000041235137818 0.15170264799962752 [-0.00037138512832145384, -0.9999390702346317]
0 9 117 3.000089631176658 0.012988905000383966 [0.0006267774980514822, -0.9997890845234297]
0 17 221 3.0002128506317884 0.02033139599916467 [-0.00011770582441006551, -1.0007258911415193]
2 58 754 3.0002668126545107 0.07830304300114221 [0.000685981711447385, -1.0004381239677738]
4 69 897 3.000201060557747 0.0985264749997441 [-0.0003685380331169795, -0.9994634242498336]
8 92 1196 3.0000370995591745 0.12701454200032458 [0.00036556003104906264, -1.000036104483226]
1 21 273 3.0002269402529222 0.028885142999570235 [-0.0008707516810224185, -1.0005782455020362]

