58 1502 19526 -10.535858931255403 1.8996797280001374 [3.9996068333758337, 3.9998359615336847, 3.9997747813083335, 4.001379769885129]
44 958 12454 -10.535562909920667 1.182745868999973 [4.0024335705212115, 3.9998070368454752, 3.99833968637469, 3.999774319238688]
31 646 8398 -10.535839957500487 0.8207673799997792 [4.000096783381331, 3.999134022756222, 3.9990304216966055, 3.997922119829704]
90 1752 22776 -10.535529176708536 2.1725249539999822 [3.999830782180606, 3.9972260913674487, 4.002279033443203, 4.000367938306391]
24 487 6331 -10.535287710839253 0.6269122409999 [4.002857121412346, 3.998290735355172, 4.000251330993712, 4.001825747015022]
207 3952 51376 -10.535431220804576 4.926409632999821 [4.002378057890819, 4.002231530947738, 4.000660125819853, 3.9993160689417597]
123 2788 36244 -10.53620889006805 3.651967542999955 [4.0004233093260115, 3.999908918302095, 4.000394114833832, 3.9981120857131933]
11 202 2626 -10.535571972681472 0.2698196139999709 [3.9998085007834714, 3.997684911842014, 4.002485201529066, 4.000724795319983]
20 516 6708 -10.53536420638634 0.665290559999903 [3.9999791004387704, 3.998944243293415, 4.003882693665263, 3.999725786097689]
8 260 3380 -10.535643550702126 0.3525352029996611 [3.999496635551877, 3.999592955635184, 3.9990559188368073, 3.997621646483706]
34 659 8567 -10.53530456920042 0.851351493999573 [4.000853345900605, 3.9963522732508285, 4.001928661854973, 3.999376832929941]
82 1425 18525 -10.535257647655907 1.8677015429998391 [4.000711635241406, 3.9979819919115496, 3.997808738330176, 4.000450251393905]
15 275 3575 -10.535492139977393 0.36799957199991695 [4.00182280383938, 3.996994522464058, 3.999575646214413, 3.998698415532412]
29 576 7488 -10.536002147025846 0.7424853060001624 [4.002353210794483, 3.999446645072972, 3.999916682838659, 4.000574433378992]
1 50 650 -10.53557533784697 0.0621103530002074 [4.0006884220435825, 3.9978168581823876, 3.9986062455010307, 3.998403031384472]
24 473 6149 -10.53530268617545 0.6022216330002266 [4.000828710255166, 3.998625054760211, 4.002649318489788, 4.002153624054012]
8 191 2483 -10.535639307056533 0.24403832400003012 [3.998810011566334, 4.000562291060228, 3.9997210312012363, 4.000971853392457]
21 558 7254 -10.53603559655688 0.7237781700000596 [4.002464303288873, 3.9988013971574703, 4.000861354540594, 3.9987246418186833]
101 2325 30225 -10.535489059255632 2.8569976439998754 [3.999592390970562, 3.999057061611573, 3.9981123795305242, 4.000543227354626]
38 864 11232 -10.535465482238852 1.0698870799997167 [4.00363884587823, 3.998879895885294, 4.001133154625362, 3.99857260954557]
11 169 2197 -10.535899867618632 0.20675048300017806 [3.998665187424826, 3.9998473148681244, 3.999830548053209, 3.9998975304021163]
8 189 2457 -10.535528190212563 0.27406920599969453 [3.9989590313842656, 3.9971840324265497, 4.001431829051229, 3.9997786382076725]
74 1392 18096 -10.53541902791268 1.75087406800003 [4.000945409033635, 3.997731729541768, 4.000719899384626, 3.996854379794781]
6 195 2535 -10.5358928361321 0.25010462299997016 [4.002592444640872, 4.000000612164955, 3.999847436234816, 3.9984871916558054]
10 199 2587 -10.535536210391372 0.2703476210003828 [4.000957633789814, 3.9992537167576185, 3.9981005530366853, 3.9981121265297634]
27 589 7657 -10.535502209766607 0.7551617060003082 [4.002389241126645, 4.001306900194946, 3.9995263538130725, 4.000920606864802]
1 71 923 -10.535323150522949 0.08570676799990906 [3.9992718890367365, 4.0008778531655045, 4.003293351045566, 3.998695873940189]
16 242 3146 -10.535435441147765 0.335178292999899 [3.997688251657464, 3.9993085084259437, 4.000029103911199, 3.9999219709276264]
8 248 3224 -10.53561431122136 0.33632321499999307 [4.001557456042142, 4.00211220316269, 4.000164639422834, 3.998791764685423]
20 559 7267 -10.535735924265861 0.7001711110001452 [4.003303508041944, 3.9999550136040996, 4.000401357600116, 3.999042905721244]
53 1063 13819 -10.535974693270257 1.3053054429997246 [3.999666077874146, 3.9995837895568656, 4.000610681464114, 4.001379027541711]
20 443 5759 -10.53566361145095 0.5641613879997749 [4.002994870376126, 4.000665263893214, 3.999708134441954, 4.0000780879551705]
51 1167 15171 -10.535562142264657 1.4480920640003205 [4.001522645026908, 3.99702478308457, 3.999793110368871, 3.998447419208905]
13 291 3783 -10.535582220787727 0.38657975300020553 [4.001008677713379, 4.000127312851888, 3.999137973461096, 3.997150187734023]
11 223 2899 -10.535399379366815 0.29519712100000106 [4.000662434097635, 3.999058049359242, 4.001884071884209, 4.002497745307925]
51 1106 14378 -10.535515831914726 1.382118478999928 [4.000059494491299, 4.000058252834349, 3.9994001288099317, 4.002097047634521]
78 1670 21710 -10.536171141292334 2.087467671000013 [4.001286222988261, 3.998984019288421, 4.0021594681809285, 3.999908191242025]
13 251 3263 -10.535509477074314 0.3243132190000324 [4.001747203811723, 3.998154061912806, 4.0000212180851795, 3.997064399543377]
65 1021 13273 -10.535359211330134 1.2859996170000159 [3.9998366678532706, 3.9985185528894562, 4.003689360384446, 3.998898114009862]
14 293 3809 -10.535397390881254 0.384127325999998 [3.9978936174186837, 4.000522949651165, 4.0005049277003994, 4.000623121936032]
101 1900 24700 -10.535474120141735 2.3615761199998815 [3.998451112905027, 4.00118859469378, 4.001901292327441, 3.998994734169923]
44 876 11388 -10.535369725239077 1.1139075579999371 [4.002110836924143, 4.001598124747031, 3.9987383843463333, 3.9988212998845554]
38 985 12805 -10.536083543837298 1.246511991999796 [4.00061776425075, 3.998241945586329, 3.9993436795299564, 3.9995552095421973]
50 1104 14352 -10.535509195113605 1.369932188000348 [4.002915487834991, 4.001660698057412, 4.000683089534001, 3.99947866278246]
