0 224 2912 4.384246257299326e-11 0.377363045000493 [-7.170057709655452e-07, 3.7249143929581105e-06, 4.863810112775001e-07, 1.731013698739023e-08, -2.1927018479882217e-07]
0 239 3107 8.457182094392479e-11 0.5948004009997021 [6.065388578660662e-06, -9.297730373135547e-07, -1.614311402983755e-06, -5.41174680691382e-07, -5.613474525369471e-07]
0 263 3419 9.417449505330785e-11 0.8123837860002823 [-2.6023053307610935e-06, 5.25484891824997e-06, 3.0753026380320085e-07, -6.756210319871182e-07, -1.9194975100428563e-11]
0 259 3367 5.303754873870759e-11 0.5580803950006157 [-2.233102754909935e-06, -4.81664001783703e-07, 1.1933855874157416e-06, -1.2423233686300655e-06, -2.284101196421727e-07]
0 214 2782 9.647715200963781e-11 0.40747171899965906 [8.028742488973502e-06, 1.8349012596453722e-06, -1.466441688986959e-07, -7.73133920510048e-07, -4.0024738905617804e-07]
0 270 3510 7.603620393482903e-11 0.5334500150001986 [3.4865865750768457e-06, 2.7561653567971436e-06, -2.2985242769734595e-06, -2.8449527563270513e-07, -3.930188051593394e-08]
0 225 2925 6.496869868923427e-11 0.4392944269993677 [-2.8103101549302336e-07, 1.7958261889794474e-06, -1.0521719458072989e-07, 1.5812563300346536e-07, 9.603745193950542e-07]
0 219 2847 9.967410680254513e-11 0.4167092120005691 [1.430911638302541e-06, -4.566011003351804e-06, -7.549295798668606e-07, 3.0195942032995364e-07, 7.446033521224051e-07]
0 226 2938 9.294825284236e-11 0.3997206459998779 [8.653132516874367e-07, 2.2475579684331585e-06, 2.446765902729719e-06, -1.0758920550469957e-06, 3.380865676816206e-07]
0 244 3172 9.43910631909874e-11 0.42629053899963765 [6.769009280719946e-07, -9.453800988422376e-07, -2.253006650334339e-06, -4.315677770008342e-07, -8.960357642799618e-07]
0 257 3341 8.164734912114505e-11 0.4350996559996929 [-1.5973865577740776e-06, -1.219211975536447e-06, -1.3209587582876317e-06, 1.6638687560000284e-06, -1.7349464796611146e-07]
0 306 3978 9.40447730174277e-11 0.5142852080007287 [1.4435157472320109e-06, -3.2204195754968815e-06, -2.0497545677423747e-06, -1.1342731620467758e-06, 2.1818228985988067e-07]
0 162 2106 5.437318901562151e-11 0.27012899599958473 [-3.7959685361111116e-06, 1.4115181143496114e-06, 2.024268840902549e-06, -3.1976334462611564e-07, 9.043436865171918e-08]
0 220 2860 8.39300191567406e-11 0.3994396409998444 [7.743773518819193e-06, -1.2441768386295298e-06, 2.507507805075839e-07, 8.357568112491505e-07, 2.621982929374682e-07]
0 229 2977 7.82716035575207e-11 0.4171588849994805 [-1.6147402565363212e-06, -7.739109297471534e-07, -2.647259362643563e-06, -9.524758658701677e-07, -5.661101323610638e-08]
