0 128 1664 5.6793293449798916e-11 0.20678735299952677 [7.526524075571494e-06, 3.72663577516675e-08, -3.61719470641033e-08]
0 107 1391 6.393839402729154e-11 0.22658632999991823 [7.604763605867825e-06, -3.7268495332316096e-07, -2.1718710325028206e-07]
0 97 1261 8.202514318365593e-11 0.2073544140002923 [8.301218574345876e-06, -8.192629267178351e-07, -2.5304141822334613e-07]
0 106 1378 2.6627030170498052e-11 0.2004573280000841 [-5.0556334028418256e-06, 9.519040774597321e-08, -9.884275033099741e-08]
0 111 1443 6.750358445779245e-11 0.16520968800068658 [-6.125556015215138e-06, -1.7027396940937954e-06, -9.939433101680146e-08]
0 148 1924 3.4844744430797955e-11 0.25890554600027826 [2.6420147420476424e-06, 4.935178298295436e-07, 5.042708007609033e-07]
0 164 2132 9.847693501560974e-11 0.3088275320005778 [-3.5561729373713646e-06, 2.9256444967200234e-06, -4.8642763412008004e-08]
0 117 1521 4.235320073462096e-11 0.18881397200038919 [3.721255055947925e-06, -1.2390184831555573e-06, 3.626815893754738e-07]
0 117 1521 9.118076548294877e-11 0.21460617199954868 [7.65746728587572e-06, -4.032179435778398e-07, 5.560405843862522e-07]
0 169 2197 5.349876299750558e-12 0.2603220020000663 [2.017905376409895e-06, 9.872411807690647e-08, -1.086494213839157e-07]
0 92 1196 8.935298936884403e-11 0.23321718599981978 [5.627650791612123e-06, 2.1507473967643773e-06, -3.3801467852186533e-07]
0 157 2041 8.343186587777488e-11 0.4090839649998088 [-6.40918227148748e-06, 1.8882559625303543e-06, 2.588270211610663e-07]
0 116 1508 8.521001574706618e-11 0.37487002600028063 [-7.397940258767727e-06, 1.04624713300263e-07, 5.510991958662092e-07]
0 109 1417 2.9554796717941506e-11 0.3277461640000183 [2.1258239278887295e-06, 1.2866821693281007e-06, -2.91207130697182e-07]
0 77 1001 4.0431416659220535e-11 0.15051833399957104 [5.63647515897963e-06, 8.073137856865761e-07, 1.464243475597612e-07]
0 109 1417 3.200491245763776e-11 0.225413395999567 [-4.258154589411021e-06, 1.1637562175812311e-06, -5.742356752465699e-08]
0 147 1911 9.076764662462905e-11 0.28597570399961114 [-1.080803170549465e-06, 2.7204239378313647e-06, 3.9487272779846634e-07]
0 66 858 6.855900951539822e-11 0.104121368000051 [1.2947972645795568e-06, 2.3139583144365925e-06, 3.652188213870302e-07]
0 119 1547 8.085488623675247e-11 0.20420706899949437 [7.649385871062917e-06, 1.4931898497872981e-06, 2.1359484370497196e-08]
0 145 1885 5.854533634461065e-11 0.22737453999980062 [-5.690825725637061e-06, -8.328868895183574e-07, 4.384385156178961e-07]
0 158 2054 8.361335663889217e-11 0.26004959599958966 [8.289524565829098e-06, -1.1487281714033477e-06, -1.304367660459e-07]
0 105 1365 9.252845774533361e-11 0.15996565200020996 [-9.167122292861258e-06, 6.585513634496779e-08, -2.906709070964898e-07]
0 85 1105 6.624398611771741e-12 0.1491038350004601 [1.736960881204984e-06, 4.458105601188979e-08, -1.8940672647464225e-07]
0 130 1690 7.211655375664664e-11 0.19871622699974978 [1.0301256659171858e-06, 1.599456796175061e-06, -6.743350386918909e-07]
0 183 2379 8.677193030939095e-11 0.2795588540002427 [-3.6362647213082747e-06, -2.565210651358983e-06, 2.783244927688545e-07]
0 119 1547 9.604478165099953e-11 0.17798537199996645 [1.813272953988859e-06, 2.488623771318097e-06, -5.55196722735617e-07]
0 135 1755 6.783129618155408e-11 0.21504623700002412 [-6.63938716807811e-06, 1.247110660041536e-07, -4.857397010135665e-07]
0 104 1352 5.928300898016836e-11 0.1605644659994141 [4.231751068316421e-07, -2.033946109172525e-06, 4.2112425789718946e-07]
0 152 1976 2.7666976645884125e-11 0.23715962000005675 [-5.365629252531436e-07, 1.5110973723386624e-06, -2.1318827796667917e-07]
0 77 1001 9.557550122949891e-11 0.12065984199944069 [8.25352122481885e-06, -9.551619696209884e-08, -5.231028119035744e-07]
0 103 1339 9.928880206693677e-11 0.1623710800004119 [6.356441739989195e-07, -1.598298403268087e-06, 8.563829791168484e-07]
0 123 1599 9.84041449647651e-11 0.17963364200022625 [-1.7781098895335056e-06, 1.8756136224649302e-06, -7.750045521011349e-07]
0 152 1976 9.604687503016193e-11 0.2451154079999469 [6.317804050360797e-06, 1.0463140097658244e-06, 6.721941456237496e-07]
