176 5400 70200 7.102882255425358e-11 2.9069342990001132 [7.879460811567785e-06, 1.490521896384214e-08, -2.592540134620934e-08]
39 1715 22295 8.082570528117065e-11 0.8922953119999875 [-3.6306975465853574e-06, 2.9689668045645557e-09, -8.219220946508474e-08]
265 8016 104208 4.1635602730495567e-11 4.231930437000301 [-4.965241873431051e-06, 1.7756422272405332e-08, 3.718745830204419e-08]
158 5309 69017 8.684802897866941e-11 2.8339974180003082 [4.107833760401541e-06, -8.143553574976035e-08, -1.9121364875630037e-08]
23 847 11011 6.918199811016767e-11 0.4676868760002435 [2.062016012426527e-06, -8.021305312457006e-08, -7.672999146443793e-09]
37 1305 16965 8.712672455314804e-11 0.7073893819997465 [8.60245911668312e-06, 1.3321123251474778e-08, -3.3689610345229103e-08]
18 412 5356 7.022958007945976e-11 0.22339876900014133 [-3.379926371014938e-06, 7.66763180653151e-08, 1.1445647838321477e-09]
120 3413 44369 6.396801065457242e-11 1.8269477969997752 [6.776901890471063e-06, 2.8744435014064888e-08, -3.1271690038634236e-08]
19 503 6539 6.593154698465767e-11 0.2830259020001904 [1.4779955794795022e-06, -5.431404475691896e-08, 5.852086933148786e-08]
162 4186 54418 7.263556999691968e-11 2.2208817979999367 [-4.970795316641308e-07, 4.2454923898434484e-08, 7.37321343132705e-08]
71 1952 25376 9.909492585503683e-11 1.1012523379999948 [-8.101994577942777e-06, -6.7869640557077075e-09, -5.7438646313338546e-08]
147 4573 59449 2.362797199510906e-11 2.417913268999655 [3.6991965884119036e-06, 1.468739160715358e-08, 2.7904698301848635e-08]
98 3345 43485 9.499918219405186e-11 1.759270719000142 [7.719180902401833e-06, 2.1820493962408954e-08, -5.536432860823963e-08]
127 3848 50024 1.1260572690988792e-11 2.0748333120000098 [-1.0360872110258466e-06, 2.5643112688309848e-08, 1.9003693584890015e-08]
35 960 12480 4.385447106392967e-11 0.5257953089999319 [-4.515614028393725e-06, -1.2758843513795229e-08, 4.6728813522716715e-08]
