0 229 2977 7.441020214754483e-11 0.43248419199971977 [-2.8636337605567323e-08, -4.867589974206657e-07, -3.6007190481649785e-06, 4.383095411513083e-06, 5.8134470377848476e-06]
0 226 2938 9.367886444649787e-11 0.39044874499995785 [3.539739361914906e-08, 2.4441805051829394e-06, 8.334835975168889e-06, -1.4124727823063004e-06, 1.9262713361741626e-06]
0 232 3016 9.965361665441322e-11 0.5026494510002522 [-1.0140162114880452e-08, -3.6328181010071795e-06, 9.0094451390176e-06, 3.446050766090256e-07, -2.034494052695821e-06]
0 248 3224 9.47248585310342e-11 0.4331842849996974 [-2.7114279041111952e-08, 1.6119180613577113e-06, -5.725143541673775e-06, -5.134113177669823e-06, 5.063432701381376e-06]
0 257 3341 9.59632617856211e-11 0.4467222099992796 [-1.116723581418707e-08, -1.3497351120025482e-06, -2.7039050604432343e-06, 2.2051433760331292e-06, 8.984466899655129e-06]
0 242 3146 9.298540610685309e-11 0.4056597620001412 [-1.6587731396728166e-08, -5.369433652256648e-07, 7.592050465500225e-06, 5.36943297298447e-06, -1.8642770390739095e-06]
0 373 4849 9.022126154396989e-11 0.6271465029994943 [-2.977481500055348e-09, 3.333242940142903e-06, -8.963601092802877e-07, -3.422827739128537e-06, -8.15493028222001e-06]
0 318 4134 9.997030943444487e-11 0.5098502490000101 [3.75929800170018e-08, -2.455917559329381e-06, 7.208880532765926e-06, 2.084500250411786e-08, 5.27617890720307e-06]
0 329 4277 8.897232746970494e-11 0.5697945830006574 [-8.522290731514213e-08, 3.233225902644516e-06, 1.4350780863978594e-07, -5.467245847885139e-07, 2.360007660362076e-06]
0 251 3263 8.646096869822063e-11 0.4031193490000078 [5.6242381769844754e-08, -4.7527663003423205e-07, 7.018871329697349e-06, -2.2635532070818386e-06, -4.634629300994483e-07]
0 384 4992 9.831246756930122e-11 0.6534772929999235 [-4.311233152415728e-08, -4.2747177000551285e-06, 3.144499288094667e-06, -7.109193474015536e-06, 1.0119373675456452e-06]
0 271 3523 4.682172769511024e-11 0.44858107500022015 [3.895681032648669e-08, -8.28139860303502e-07, 3.236201310193566e-06, 1.5035630797796063e-06, 4.269177965811832e-06]
0 291 3783 9.716298604769438e-11 0.5046604819999629 [-3.446650434527519e-08, -9.12988180603792e-06, 7.260347092073612e-07, 9.114391309665549e-07, 7.556436655014894e-07]
0 264 3432 1.7918249366279933e-11 0.43664142900070146 [2.552492141940613e-09, 3.19464290315893e-06, -1.1489971966445763e-06, 1.295307484690767e-06, -2.1562323363766978e-06]
0 402 5226 9.834503703092849e-11 0.6891872429996511 [-2.8672337856359665e-08, 4.033238856653493e-06, -1.788457566288443e-06, -7.714279461487893e-07, -8.370382920279265e-06]
0 292 3796 6.402328354121319e-11 0.47658366999985446 [-1.7234318023905986e-09, -7.685655878494224e-06, 1.0720262228131166e-06, 1.8451862255285943e-06, -6.085414180859199e-07]
0 280 3640 8.027933705486802e-11 0.4736896299991713 [5.398892211431852e-08, 7.965162081321586e-07, 2.0734583418689716e-06, -6.028376048046557e-06, 3.1394768039059974e-06]
0 284 3692 8.993086917871744e-11 0.46717932100000326 [3.675351017985185e-08, 8.563398477482167e-06, -6.484818392289355e-07, 1.30875765038203e-06, 9.785168909761145e-07]
0 286 3718 9.986282697756521e-11 0.4666900460006218 [2.6723012642266432e-08, 6.129291270257599e-06, -5.006511049737651e-06, -5.453526470897453e-06, 5.89336572085473e-07]
0 347 4511 7.867045373654586e-11 0.5598013750004611 [2.2396659747670718e-08, -2.4559005670292427e-06, 9.70449312974415e-07, -3.571977870531344e-06, 7.343167210833743e-06]
0 292 3796 7.15258516470723e-11 0.48219983899980434 [1.0222760139516836e-08, 2.5867676649812927e-06, -2.613034649310823e-06, 2.7107329313489838e-06, 7.043678963594223e-06]
0 327 4251 8.399667612719396e-11 0.530082539000432 [-1.5470795993370258e-09, 8.553480078346466e-06, 1.94466759495665e-06, -1.7917568427314365e-06, 1.9541226894204596e-06]
0 377 4901 8.632094827418798e-11 0.6305154029996629 [-2.9566135747521533e-08, 2.979858322795294e-06, 6.351837724037627e-08, -7.707929906189426e-07, -8.252373743427545e-06]
0 230 2990 6.55624574660053e-11 0.38063138500001514 [1.923443527304167e-08, 3.183834987183874e-06, -6.021365308572907e-06, -3.909890555666631e-06, -4.265359317624291e-07]
0 335 4355 9.02067085550371e-11 0.5458985859995664 [-2.992730521591531e-08, -1.1921979654528868e-06, 7.138019983312718e-06, 4.487709702448981e-06, 2.956022485657908e-06]
0 265 3445 6.013236209135428e-11 0.440476665999995 [1.4414593632530873e-08, 1.3108054688714916e-06, -2.8151130250737847e-06, -6.800790561477013e-06, 1.4699429965838742e-06]
0 285 3705 9.525481534454204e-11 0.552763681000215 [5.871086180536774e-08, 1.5158614653234616e-06, -1.9101778517833443e-06, 7.391258424570306e-06, 4.5590119431122536e-07]
0 291 3783 4.600172864578098e-11 0.5810962879995714 [1.202405998942377e-08, 1.9945498551160603e-06, 1.220959061232446e-06, -1.8312415134588653e-06, 5.977753158597646e-06]
0 257 3341 5.782269666456726e-11 0.4614452819996586 [-4.018404394007192e-08, 1.892168227519273e-07, 3.205028411406778e-06, 4.411454560460483e-06, -3.450533484527627e-06]
0 300 3900 2.5059141707241954e-11 0.4973149970001032 [-2.156712568147067e-08, 4.421888623499968e-06, -2.9848553601685365e-07, 8.224568910910577e-07, 2.985040269168258e-07]
0 396 5148 9.403152537532221e-11 0.6439880059997449 [-2.7920530849961052e-08, -1.8653478321257895e-06, -9.003389064907811e-07, 8.897878118529254e-06, 1.6654120368025606e-06]
