0 326 4238 4.612649030790796e-11 0.19863710799927503 [-4.825340795175904e-07, 1.5538716131282534e-06, -9.854786060138768e-07, 1.3792575463100988e-06, 7.871266455369804e-07, 1.8469706275286836e-06, -3.4689046418318966e-06, 4.430102662766641e-06, -2.2152176030613565e-06, -9.191200795329456e-08]
0 281 3653 9.280355824508897e-11 0.1709220410002672 [1.8304471064752768e-06, 4.880284373077551e-07, 5.187367728915054e-06, -8.06747313678335e-07, -3.073303799275033e-06, -6.676044128685209e-06, -2.3808062709057317e-06, -6.669396834491612e-08, 7.451416497859399e-07, -1.1885035055538162e-06]
0 413 5369 9.775284555119689e-11 0.2725287089997437 [-1.4022062809619918e-06, 1.0468147854210218e-06, 1.1085310456601818e-06, -4.0427032964065727e-07, 5.145800198908756e-07, 9.62112628511855e-06, 1.043459129155405e-07, -3.6461713180110615e-07, -1.446106299964192e-07, -5.504150938231742e-07]
0 427 5551 4.098277158854857e-11 0.2913285039994662 [-3.976632457845664e-07, 2.009626068033936e-06, 1.474319524558512e-06, 3.965525180601786e-06, 1.1310191153390754e-06, 1.747027240053003e-07, -1.3344284014342036e-06, 2.120450635752532e-06, -3.072274555426427e-06, 1.364340242579683e-06]
0 492 6396 3.9449608433602284e-11 0.3337577529991904 [-2.3504193146713616e-07, 2.416630191913645e-07, -1.7074292729004704e-06, 8.521888199706527e-07, -5.004010988648012e-06, 1.984750282323223e-06, 3.935271587134256e-07, 3.1041400761864313e-07, 2.112066558684558e-06, -1.4152798011674816e-06]
0 414 5382 9.926472509608577e-11 0.26220035400001507 [1.3132310250567107e-06, 3.3693965796374154e-06, 3.2559524355034537e-07, 5.256666830362368e-06, -3.484940080097454e-06, 2.220937032839345e-06, -2.5956638753306735e-06, 5.6648713514767005e-06, 3.1066949048009194e-07, 1.5641723215449281e-06]
0 450 5850 6.522604664228111e-11 0.32802722199994605 [4.06999352300726e-06, -1.7206174959462291e-06, 3.927695124194905e-06, 3.0751217646071585e-06, -1.0373015379842391e-07, 8.984406608888009e-08, 3.866048785638733e-06, 4.2415150299997914e-07, -2.3685973307595056e-06, 2.493772545428904e-07]
0 335 4355 8.739874252487995e-11 0.2345128239994665 [-3.0443487653402603e-06, 3.422672475447634e-06, 2.384496549232234e-06, 2.612985217583867e-07, 4.798810653238521e-06, 2.9030943420268167e-07, 3.2502410308347004e-06, -4.808735103764504e-07, 1.39500573694824e-06, -4.9807313904733425e-06]
0 414 5382 6.345501622634001e-11 0.2804913330001 [-2.2832529022565636e-06, -6.179772973942492e-07, -3.4559669312546613e-06, 1.045923245562098e-06, -5.786299612046549e-07, 6.238773484143195e-06, 3.9143926782421907e-07, -1.930918109276054e-06, -1.228348950376136e-06, 4.178466196851542e-07]
0 387 5031 9.431433477993816e-11 0.23954761100048927 [-5.121742115948732e-07, 1.0754247033495703e-06, 8.127913714714839e-07, 1.4035350655761076e-06, 5.4654769315611465e-06, 1.5823930369168397e-06, -1.2376248062184212e-06, 3.5141092040884517e-06, 6.58290521547101e-06, 8.211017127548049e-07]
