0 2111 27443 9.793778336030224e-11 1.2432502779993229 [7.869320729777996e-07, -9.703285464312104e-09, -9.776990023688754e-09, -8.17939833506373e-08, 4.10232645849687e-08, -3.142189108433425e-08, -3.510129284521783e-09, -9.800708164059978e-09, -5.312379516017344e-10, 8.541226714944149e-09]
0 742 9646 8.395147584184885e-11 0.44361162800032616 [1.5945754012717654e-06, 2.3055495324975883e-08, 1.833679214363266e-08, -3.0688651348136354e-08, 3.180045291005712e-08, -5.8704266471721045e-09, 4.82782761803196e-09, 2.4448248950636013e-08, 4.628001578940063e-09, -6.814043932646437e-08]
0 1358 17654 6.074299891732412e-11 0.8297167459995762 [1.9529410575523838e-06, -2.402332477694948e-09, 3.0253859045481956e-08, 2.2876044269114457e-09, 9.005151364213406e-09, 2.4378770508387824e-08, 2.7206576373765787e-09, 4.24825553402262e-10, -1.1526651713125213e-08, 6.285489905150084e-08]
0 1143 14859 8.807778225265345e-11 0.6777528860002349 [-2.444839536732528e-06, -2.4666901387501946e-08, -7.773431492844863e-08, 2.468496944840084e-08, -1.2480412861892513e-08, 1.3240230534891546e-08, 2.1097169804688173e-08, 9.608292029889784e-09, -2.1308750962836964e-09, -8.752819152022597e-09]
0 870 11310 9.954396976753578e-11 0.5286266840003009 [3.6963380836757424e-06, 2.7135094226488796e-09, -9.52236924827359e-09, 1.5437711415828455e-08, -1.4471220320390738e-09, -3.5805297185349226e-08, 3.517211103548921e-08, 4.298632532426352e-08, 6.145683219282252e-08, -1.0285262231222063e-08]
0 1654 21502 4.314066274510947e-11 0.9988354990000516 [-4.843368493131408e-06, 4.3052105908497514e-08, 7.4427850578792404e-09, 9.378161437583836e-10, 1.298598828534065e-10, 6.1592255325447395e-12, 1.5080603922972432e-09, -6.1876731425763276e-09, -2.2179307295171486e-10, -4.225923334936006e-09]
0 701 9113 9.150866604528154e-11 0.4166649710005004 [3.195257663951731e-06, -1.68791823328933e-09, 2.502327956708871e-09, -7.804374307963619e-08, -1.1357768540410458e-08, -2.306365177000592e-10, -2.8028849436178872e-09, 2.981539697715218e-08, 5.596081416916696e-09, -3.1189431158976574e-08]
0 809 10517 9.806614397134521e-11 0.5303892040001301 [1.740249106937623e-06, 5.5174569807827115e-08, 1.2760566868708744e-08, -1.3007350013738205e-08, 3.792165946676977e-08, 1.2144431912370483e-08, -9.848806249528331e-09, -5.253098166475595e-08, -1.3708862761495665e-08, 3.869800907592383e-08]
0 920 11960 8.785011938647446e-11 0.5438281300002927 [-9.168547966484458e-06, -1.6777367660574582e-09, 5.6008709694907615e-11, 1.0542731075862315e-08, 4.601111794812592e-09, 1.951421370821198e-09, 5.820945577816957e-09, 3.714087777251424e-10, -1.3175948822680452e-08, -5.675595714309414e-09]
0 949 12337 9.291401773379292e-11 0.561805385000298 [-8.08814652926447e-06, 1.552580260822233e-08, 6.07829628207804e-09, -6.2198639142253626e-09, -1.8583102769033125e-08, -2.3226972227567224e-08, 1.1035695086927703e-08, 1.0076167447435593e-09, 3.696206212930042e-08, 7.686843582999087e-09]
0 797 10361 9.637025505538257e-11 0.4716320280003856 [-7.732575171044871e-06, -7.747447948558654e-09, 2.4747531719615303e-08, -1.7109086904252454e-08, 4.809115551273953e-08, 1.2868736755794382e-09, -1.7415217145251715e-08, 1.3510744033166437e-09, 4.461971155699033e-09, -7.289021749507158e-09]
0 787 10231 9.119827300086688e-11 0.46767564299989317 [2.9318884123589892e-06, 4.942483275023845e-09, -2.0620351704627043e-08, -2.6502535480111023e-08, 2.1281356656475252e-08, -1.6785809851565074e-08, -2.874351818600968e-10, -3.164435537036504e-09, -4.40545665641529e-09, 7.96495764489483e-08]
0 1528 19864 9.279887239077144e-11 0.8901106570001502 [-7.334407026847707e-08, -3.363462123345588e-08, -4.68701775849977e-08, 7.540880946465896e-09, 2.933388501674235e-08, 1.6330674784735901e-09, 3.910762915584247e-08, 2.5224466247705975e-08, -5.3495560415878695e-08, -1.9452677323600892e-09]
0 1072 13936 4.1274366391499644e-11 0.6296923429999879 [5.647535634930015e-06, 7.742449609404549e-10, 5.9850054021389075e-09, 1.6672826320426195e-09, 5.73722441220271e-09, 1.1233888340080354e-08, -7.880361241700591e-09, 1.031386239323914e-08, 1.8052088017899206e-08, 1.566210280599398e-08]
0 901 11713 9.779704948777248e-11 0.5361263269996925 [9.306620368258956e-06, -1.8383278109591858e-08, -2.7603998784414358e-09, -7.851262907791495e-09, -3.4860288454883293e-09, 2.5842168816070864e-08, 2.638890216288988e-09, 3.2918729006315386e-09, 1.8999173357366815e-10, -3.6569493079606303e-09]
0 1534 19942 9.93800304578533e-11 0.889504983999359 [7.670097284836822e-06, 5.7875663094166165e-08, -1.1275263467482646e-08, 1.7086012790933226e-09, -1.997581150723643e-09, -8.976190468176085e-09, -2.8116552210953927e-09, -7.306388230803173e-09, -3.5729310529998113e-09, -2.0413320909935012e-08]
0 2557 33241 6.432718258820386e-11 1.4727219959995637 [6.889718727654887e-06, 2.823865083340456e-10, -7.681158538185645e-11, -2.3730406206043983e-09, 9.661142448492458e-09, 5.629966405514428e-10, 1.6834905074707802e-09, 7.072549227097058e-10, -1.2883855825980481e-08, 3.764566576469771e-08]
0 911 11843 9.016460563269669e-11 0.5386875719996169 [4.620878350030327e-06, 6.691477198813382e-08, -4.3693556708342126e-08, 1.244792457369741e-08, -4.950813863962866e-09, -8.852922500282739e-09, -1.1529402221618315e-09, -1.1655441176323692e-09, -1.0380810936381952e-09, 1.526087432408928e-08]
0 1046 13598 9.804062361449197e-11 0.6271017939998274 [-5.5485936704848025e-06, -1.7395637060454455e-08, -3.884388085809047e-08, 1.4446738258445686e-08, 6.626571463025816e-08, 5.297793341351355e-09, 4.20902951207577e-09, 2.376963024394711e-09, -2.482315575500292e-09, -1.6014691731483984e-08]
0 1184 15392 9.769992106738389e-11 0.7954441629999565 [2.905352883458098e-07, -2.7383253110674853e-09, -1.5011413014618356e-09, 3.3780316834889872e-09, 3.6955685069369664e-09, 3.6296465132462957e-09, -3.030511832760832e-12, 3.638226711072454e-08, 7.10508258961873e-08, -5.780715606531005e-08]
0 1093 14209 8.329314917273112e-11 0.6532784889996037 [8.927031049648393e-06, -4.368581942342545e-10, 1.1241932754298943e-09, 4.037671228218298e-09, 8.880912932065202e-09, -1.0393364668571644e-08, -8.17111651529091e-09, -4.6495915295401755e-09, 1.2654660876493416e-09, 8.092542371037179e-09]
0 581 7553 9.812668864082022e-11 0.4004949129994202 [-5.0199905698371246e-06, -2.395843021326669e-09, 5.09029044139416e-08, -1.2151093204472207e-08, 4.606314447380229e-08, 1.1885972449494517e-08, -4.409766506714154e-08, 4.583838103867856e-09, 9.121829794464811e-09, 1.5369791459717124e-08]
0 845 10985 9.657584760097818e-11 0.5378984519993537 [-4.457645325617103e-06, -2.978544973965156e-09, -1.0742172998688287e-08, 2.3808066239308285e-09, 2.5033636864855583e-08, -7.235765007112596e-09, 7.898055598116626e-08, -3.499914762008521e-09, 1.1360692273351097e-08, -2.1961514037905663e-08]
0 786 10218 7.263748105646979e-11 0.514755786999558 [1.7482033147561575e-06, -8.229947942067784e-09, -4.55804453096456e-10, 7.902497309957686e-09, -1.5665239987200907e-09, -1.2667832584026137e-08, -7.32840979443418e-08, 5.712196333002503e-09, -3.419366139367388e-08, 9.61325648928019e-09]
0 1053 13689 9.808818320044769e-11 0.6537135579992537 [-3.1738170126476723e-07, -7.097489281949228e-09, -1.6030264085164127e-08, -4.708004707119581e-09, -5.797724931431929e-10, 1.3187630960913054e-08, 3.3856383389166692e-09, -7.941942785211516e-08, 9.971795924687297e-10, 5.454433055397514e-08]
0 1817 23621 8.423998917544877e-11 1.053036074999909 [8.854907317768513e-06, 1.345089944310426e-09, -2.7388597664673054e-09, -4.795172263273698e-10, -1.8401608872353167e-09, -3.1887734322566725e-09, 2.067876367487685e-08, -2.8196488397578053e-09, -1.0891056339535646e-08, 2.405979506098382e-09]
