0 956 12428 9.442434223041732e-11 1.4429891250001674 [-3.643640339316604e-06, -1.8031877418605332e-09, -7.553816597430264e-08, 1.2294549520136698e-08, 3.194269574550385e-08, 3.139836099783431e-08, 5.139974209695768e-09, 2.2277013888308347e-09, 1.2163499939978976e-08, -8.299106827320096e-09]
0 1224 15912 8.05988437329812e-11 1.6222634389996529 [4.7024943728958515e-07, 1.8110863222829892e-08, -1.0225453745441727e-08, 4.305096004933249e-08, 1.0534707871870495e-08, 1.7749394296586938e-08, -4.996434097202289e-08, -3.4260777772045603e-09, 3.04838760855105e-08, -4.345527978374341e-08]
0 896 11648 9.891206701899828e-11 1.1572462280000764 [-2.297039818729524e-07, 2.168267101470001e-08, 7.285247366859483e-10, 6.337574589188219e-08, -2.2851934992425832e-08, 3.7381170127831926e-08, 4.4435420978080414e-08, 4.134804427323027e-09, 1.3752334125876485e-08, 3.603447543547353e-08]
0 1021 13273 8.964074357706165e-11 1.3103586130000622 [-9.113715535010258e-06, -4.994410296930587e-09, 2.7840203779814503e-09, 2.0347953367177632e-08, 1.8589412418723985e-09, -6.500041058849389e-10, 3.01609096480576e-09, -1.1312664259971394e-09, -6.0379418439503274e-09, 1.2674686759900433e-08]
0 1240 16120 9.907190402263603e-11 1.682065588000114 [-9.817408595808715e-06, -5.3305941802906315e-09, 7.89177672385545e-09, -1.2306341232096656e-09, -1.8193817185782608e-09, -5.124580521777605e-09, -4.469444589861454e-09, 1.7708173419334578e-09, -1.069727486354307e-08, 3.116812501542501e-09]
0 1082 14066 5.041245197269572e-11 1.4220264219993624 [1.4975479750630401e-06, 9.543902567943404e-09, -3.437449645569249e-08, 2.632019400002734e-10, 5.691413282936125e-09, -1.0948597156739895e-08, -4.2390529969998935e-08, 2.748799183108118e-08, 2.6318589787384295e-08, 1.211362811632714e-08]
0 955 12415 4.382951706082753e-11 1.2943706519999978 [2.7956385465935607e-07, -8.82653940412928e-09, -3.91590769163144e-08, 6.805688065209307e-09, -2.862257264855421e-08, 1.7006583220234103e-08, 8.371308544732095e-09, -7.417370175984859e-09, 1.0940720535067542e-08, -3.693516654374923e-08]
0 1419 18447 9.325119039439769e-11 1.8774665549999554 [-6.467103535123913e-06, 4.468383500424551e-09, 8.164806879567448e-09, 1.6257079902534533e-08, -4.417820776473143e-09, -9.135705933354586e-09, 1.0677334695337796e-08, 1.2157795780613181e-08, -4.740738964615163e-08, -4.668615132754555e-08]
0 1280 16640 9.808728666808763e-11 1.6385712609999246 [-8.060149598806966e-06, 2.212011328811454e-08, 1.6108101307045685e-08, -2.1587437182532778e-08, 2.8241443405754894e-09, 3.5283532985733954e-08, -9.533619802157485e-09, 1.4284642885362854e-09, -2.690503229955003e-08, 5.2559543928542055e-09]
0 945 12285 9.667452279929111e-11 1.3200608269999066 [-1.1015069392852386e-06, 1.1687999931231584e-08, -2.4113458026908396e-08, 5.4983491963504455e-08, 1.2361996218364188e-09, -1.6966618835145918e-08, 5.2921870834731925e-08, -4.33739702139435e-09, 2.4016490777664203e-08, 4.603416490223343e-08]
