36 1164 15132 6.419587122879708e-11 1.3961710490000314 [6.879167387671696e-06, -2.2236004285078907e-08, -3.453770174104058e-08]
76 2583 33579 6.06405816721507e-11 1.761227469000005 [7.068527481957675e-06, -1.8679985709532922e-08, -2.680873411385968e-08]
156 4937 64181 9.347644908183053e-11 3.1697174860000814 [5.649756832266037e-06, 6.869667289827694e-08, 3.790035375186514e-08]
103 3494 45422 3.442417028091934e-11 2.221180722000099 [4.65789312866574e-06, -7.220683687673132e-09, -3.493825861956135e-08]
55 1553 20189 8.449159636222436e-11 1.0232280699999592 [-5.193431784202054e-07, 6.455108772485181e-08, -6.523300526622824e-08]
85 2878 37414 2.3588431738407675e-11 1.8032624009999836 [2.2058919680366376e-06, -2.3502531789326513e-08, 3.633012848680292e-08]
136 4233 55029 7.835318135256047e-11 2.7178210539998418 [6.001237624889045e-06, -1.2488179322820707e-08, 6.385826657073247e-08]
62 1896 24648 5.595456660891196e-11 1.1893100249999407 [-5.7286324052972495e-06, 1.8028554625198878e-09, 4.806748848827327e-08]
158 4855 63115 8.676330417995154e-11 3.1351761900000383 [-9.350952536775842e-07, -2.8673403727076063e-08, 8.812903053678861e-08]
17 500 6500 9.85491631358951e-11 0.3210736260000431 [9.464990136234188e-06, 2.3249418747065946e-08, 1.8862052211041118e-08]
91 2722 35386 7.486338443935719e-11 1.773282012999971 [-7.441193127765739e-06, -4.248606092413524e-08, 1.2005730074242976e-08]
61 2245 29185 5.4770948156109564e-11 1.4516287779999857 [4.363638345970422e-06, -9.454718451669366e-09, 5.902176846866139e-08]
77 1930 25090 5.979936553040954e-11 1.2241245820000586 [-5.032553017313602e-06, -5.641583994934484e-08, -1.6264395735582598e-08]
257 7869 102297 3.647929645497045e-11 4.946397095000066 [-2.1649587140796765e-06, 5.0809794666811875e-09, 5.6155219434966654e-08]
95 2785 36205 3.0432561203301876e-11 1.7877111650000188 [2.417270864531221e-06, 3.781511591073715e-08, -3.207730172156864e-08]
287 10000 130000 0.12465403293427627 6.422069770000007 [-0.3252524283666059, 0.0009282031975233181, -0.0010123872291261412]
329 10000 130000 6.305797510636308e-09 6.296344142999942 [5.180429361995547e-05, -1.0582969784773593e-07, -5.924621020544958e-07]
67 1884 24492 4.545838503855046e-11 1.197019943999976 [-6.158637576790399e-06, -4.66254016890511e-09, 2.7041034425534097e-08]
50 1626 21138 8.475067277669148e-11 1.0711560560000635 [-8.844872196774696e-06, -2.0123243848304174e-08, 1.571451294068743e-08]
