0 145 1885 4.7136689987191374e-11 0.08743917299989334 [4.369835547043919e-06, 4.4270163727411706e-08, 2.9056416355883185e-08]
0 99 1287 8.912451423162777e-11 0.05784328200024902 [1.1460458247931527e-06, 5.554357202435068e-08, 7.547198769534272e-08]
0 221 2873 8.818579047291052e-11 0.13154046199997538 [9.25570347605925e-06, 1.5816350671972505e-08, -1.2717763320323405e-09]
0 205 2665 8.42854655094185e-11 0.13399810800001433 [2.2767049444752336e-06, -8.837087713452296e-08, -1.0039725344704334e-08]
0 159 2067 9.535057202065993e-11 0.0985522679998212 [-9.14182084512216e-06, 1.2071219689336485e-09, -3.429739381042101e-08]
0 108 1404 7.770707129802038e-11 0.08287209899981463 [6.285052120180894e-06, 1.9246125292020315e-08, 5.8737601038064696e-08]
0 82 1066 9.384478615463409e-11 0.07031460799998968 [9.40517092736781e-06, -2.2325478715946032e-08, -6.3504014256408184e-09]
0 124 1612 3.3592581503008486e-11 0.0930422940000426 [-5.216157478789837e-06, -9.630321234426166e-09, -2.335990536943791e-08]
0 69 897 7.879746250112574e-11 0.047725892000016756 [-2.008167606393938e-06, 4.847896887476383e-08, 7.159791975620002e-08]
0 71 923 7.879241831233431e-11 0.046882353000000876 [1.7975340239004066e-06, -7.952477614370005e-08, 3.5098987931561013e-08]
0 97 1261 9.698654549273914e-11 0.07296858200015777 [3.467869265810302e-07, -9.76751866231654e-08, -1.2090754739013325e-08]
0 168 2184 2.1594642828275393e-12 0.11233057499975985 [-4.79042208560863e-07, -3.7845496319604035e-09, 1.3366954350475481e-08]
0 199 2587 4.790193890642579e-11 0.136628662000021 [-6.853831632146987e-06, 2.592352978077521e-09, -9.272151449246764e-09]
0 110 1430 9.884537758901392e-11 0.08378589099993405 [-8.193700308517422e-06, -4.1821029208390103e-08, 3.770764909501154e-08]
0 88 1144 7.772265890772253e-11 0.0581071339997834 [-4.141681387510505e-06, 3.6410658197558204e-08, 6.878355463937398e-08]
0 78 1014 2.3690417363240604e-11 0.044927254000413086 [3.4414074172827374e-06, 3.243161729411469e-08, 1.1528375203786406e-08]
0 71 923 9.277779800912604e-11 0.048418854999908945 [-7.95045427541852e-06, -4.106083549621537e-08, -3.564849605121205e-08]
0 159 2067 9.482988410079039e-11 0.10182861000021148 [6.750094646077558e-06, -5.086106450346426e-08, -4.837109420462799e-08]
0 78 1014 2.443299127808691e-11 0.04362502599997242 [4.8947904528186216e-06, 6.826743803268296e-09, 8.929384932884504e-10]
