0 311 4043 9.328551499901501e-11 0.2052488290000838 [-1.8291295264018634e-08, 1.1299784126095437e-08, 1.8568973063156524e-08, -4.6402710311705096e-08, -8.18707190426751e-08]
0 602 7826 9.617383848665785e-11 0.39527873999986696 [-5.796369860709111e-06, -2.695268584535958e-08, -3.8587533853741436e-08, -5.646861593351856e-09, -6.332662475930111e-08]
0 475 6175 8.569999878610109e-11 0.35085121799966146 [-2.287357494658849e-06, 2.1694258519230844e-10, 8.281675945557756e-08, 3.397472421762282e-08, -5.818492184502587e-09]
0 627 8151 8.952737182808656e-11 0.43591359399988505 [-1.0929986555750482e-06, 3.6299464860539404e-09, 9.346429816907616e-08, 7.324848345826216e-09, -5.555864440465414e-09]
0 491 6383 8.73637096961594e-11 0.3442716089998612 [-5.886751753900521e-07, 1.2191052644274035e-08, 8.403204639686199e-08, 3.4050969309055705e-08, 1.8227507407701397e-08]
0 491 6383 6.82670719938605e-11 0.3477415560000736 [-4.34120575310996e-06, -4.6033674400949116e-08, 5.474177898949157e-09, -2.4286586406949566e-08, 4.69382187399392e-08]
0 489 6357 9.220849359835219e-11 0.3875749089997953 [-5.01168006804437e-07, -4.99068799411041e-08, -4.489959301860382e-08, -6.840833829753691e-08, 3.0596658981814996e-09]
0 724 9412 7.536415600436155e-11 0.513586249999662 [8.423969214030968e-06, -1.5574409700106036e-09, -1.205763824036385e-08, -1.6504295220488167e-08, 4.459354830737321e-09]
0 311 4043 9.606995537677722e-11 0.22627695300025152 [-1.9370116327975003e-07, 4.699058784579996e-08, -6.265826891582033e-08, 5.500913548218404e-08, 2.104909802090696e-08]
0 501 6513 8.338857934748177e-11 0.3783656749997135 [8.31212687549949e-06, -1.240518700804672e-08, -3.123543602592512e-08, 5.605804886854644e-09, -1.63934876839656e-08]
0 444 5772 6.612032162765166e-11 0.3063538290002725 [1.6748536418913138e-06, 2.1126863228561316e-08, -1.4843897514107007e-08, 6.386030963475265e-08, 3.983332650752854e-08]
0 315 4095 9.564058474388553e-11 0.22114478499997858 [9.638337591076602e-06, 3.064544144919828e-09, -4.784689143997579e-09, -1.537270878267263e-08, 2.387146014555962e-09]
0 271 3523 4.820180505189526e-11 0.2017622579996896 [-1.8824580245834358e-06, 2.3389147197115498e-09, -1.823598951892525e-08, 1.0802106459005206e-08, 6.333331148775936e-08]
0 451 5863 6.668800774059593e-11 0.37277327999981935 [-7.191014783366419e-06, -1.3016005290937716e-08, 3.920097914521864e-09, -3.608755195266359e-08, -3.2613563544641284e-09]
0 589 7657 9.147201925744858e-11 0.45526941199977955 [3.3682209742825218e-06, -4.222381618213371e-09, 7.865560992537417e-08, 4.010076036754226e-08, 1.4145890260697353e-08]
0 252 3276 9.950699167295726e-11 0.17380098600006022 [-7.495949506734263e-07, -9.700677873291654e-08, 1.2098196219812167e-08, -1.0572755146592274e-08, -1.5034802459238244e-08]
0 567 7371 9.833307645839447e-11 0.3958567419999781 [2.4640914018697024e-06, 1.6628579879799872e-08, 3.4612630095319147e-09, -6.452426354956356e-08, 6.909603754998584e-08]
0 344 4472 9.369680587491098e-11 0.2498512310003207 [1.2992710616732666e-06, -1.3519213375638792e-08, -8.487494999953944e-08, -5.0461222635375695e-09, 4.229515859648714e-08]
0 201 2613 9.756016176479136e-11 0.16859585200018046 [8.023973727240382e-07, -8.083830630751834e-08, -1.6134636257601362e-08, 4.8959188423630025e-08, 2.234886210011416e-08]
0 722 9386 6.404350785930424e-11 0.697622569000032 [4.119589306352962e-06, 3.958028145934006e-08, 3.496988871161368e-08, -4.0999073315295444e-08, 1.5389391508843365e-08]
0 312 4056 7.668092347813408e-11 0.2439885230000982 [3.0991412839987764e-06, 5.702868381696128e-08, 2.3686004942684943e-08, 5.373408412179869e-08, -2.641074316726867e-09]
0 589 7657 8.514122019597656e-11 0.6197032949999084 [3.528837478313266e-06, -3.169578737646259e-08, -8.71430737627288e-10, -2.274470618172066e-08, 7.580335504795031e-08]
0 425 5525 9.821767485592161e-11 0.3317769049999697 [5.23309349819934e-06, -4.7137004813965544e-08, -5.604671559515212e-08, -6.752957648498256e-09, -4.092073729375427e-08]
0 401 5213 5.700438952535544e-11 0.4957172019999234 [-5.392213906719037e-06, -5.2760606078579463e-08, -2.9353113973566586e-09, -1.1556109049590171e-10, 7.286355810700419e-10]
0 383 4979 8.058773936068352e-11 0.3162652200003322 [2.656860030721554e-06, 1.646863648554229e-08, 7.966859739834819e-08, 2.397843170453195e-08, 1.2633955345094719e-08]
0 761 9893 9.79353626206834e-11 0.5804467660000228 [3.901916791541901e-06, 1.0099206195803153e-08, -3.124409056496058e-08, -2.7520069469451543e-08, -8.022156451127358e-08]
0 429 5577 5.297993400573983e-11 0.4339529510002649 [6.175711640626566e-06, 1.3774077496321129e-08, -1.5928079933058107e-09, -2.2565675864344346e-08, 2.7974631335624122e-08]
0 522 6786 5.883428119516776e-11 0.42247207900027206 [4.083545393648929e-06, -6.387595760337321e-08, 7.678796664245858e-09, -8.52719666455884e-09, 2.019618875631815e-09]
0 491 6383 8.854462105799212e-11 0.3855365280001024 [-2.7559015612593867e-06, 8.779775008511953e-08, 3.2908030883828517e-09, -1.7308390384780456e-08, 8.723994588285878e-09]
0 512 6656 9.785331621412596e-11 0.39335539600006086 [8.538354752721206e-06, 1.1257125856283483e-08, 3.9745501594396855e-08, -1.4301338258376466e-08, 2.41666170070617e-08]
0 569 7397 6.224649064367516e-11 0.5735687380001764 [1.3388250251752251e-06, -7.831147285041982e-09, -5.712044404518412e-09, 1.491107536647738e-08, -7.569088011048618e-08]
0 333 4329 9.799589578136189e-11 0.2783218609997675 [8.97370851163753e-07, -7.896962821320035e-08, -1.1401191052805373e-08, -5.230491651498157e-08, -2.4840863601966473e-08]
0 409 5317 9.800320698568977e-11 0.3358699440000237 [-2.4561432231929756e-06, 4.381882468905348e-08, -7.722731640811915e-08, -1.2796779624561834e-08, -3.389913538419447e-08]
0 688 8944 6.282262299662299e-11 0.5656308900001932 [-4.864149216321693e-06, 1.150334378782162e-08, -4.601739277767941e-10, 1.5807969868913805e-08, -5.944608439650923e-08]
0 571 7423 8.338042911035186e-11 0.6829357930000697 [-8.335670562122123e-06, -1.1040409738156364e-08, -3.3740066011877094e-08, 7.208379311832118e-09, 8.801085446511735e-09]
0 433 5629 8.580440799585681e-11 0.38026989300033165 [9.105362663247843e-06, -1.0347939493261588e-10, -1.6247851161262093e-09, -1.9634326991315974e-09, -1.6827720405215765e-08]
0 311 4043 9.22363345094751e-11 0.38079828199988697 [9.581443142968459e-06, -5.062103348380038e-09, -1.5465298184763168e-10, 2.3205683996227443e-09, 3.492038831682584e-09]
