12 477 6201 3.717437316999752e-12 0.3293097770001623 [1.7356384350093992e-06, 1.7636063410330863e-07, -6.276669557214752e-08]
37 1459 18967 7.649906341240528e-11 0.9472260739999001 [-5.199303869633959e-06, -7.997387538229101e-07, 6.562810521411723e-07]
10 315 4095 3.3363439090121124e-11 0.19209017499997572 [-5.227599144487365e-07, -1.662752226588492e-06, 2.33296195676586e-07]
19 671 8723 2.6463468488711034e-11 0.4371655209997698 [-9.031660141613977e-07, -4.7161213264510053e-07, 4.839791276800504e-07]
15 669 8697 7.981905926791726e-11 0.44436871500010966 [6.647631296455145e-06, 7.678071429809755e-08, -5.963983956503076e-07]
6 323 4199 9.116772949877386e-11 0.210105909000049 [-4.822958752644221e-06, 1.1032882737649176e-06, 7.465544067165812e-07]
46 1373 17849 4.4638101810931195e-11 0.8889371830000528 [-6.69023714446832e-07, 3.969337964630125e-07, -6.528012307945931e-07]
68 2293 29809 5.521059713243704e-11 1.467393796000124 [6.388743855296885e-06, 1.1895219059194131e-06, 4.948994213189219e-08]
32 1064 13832 7.408581466448499e-11 0.7574302279999756 [-7.879477318945659e-06, -1.7208179781442675e-07, -3.421042296335356e-07]
75 2361 30693 7.59118544066737e-11 1.5226760380000997 [-1.8775125381057575e-06, 2.6779211101303045e-06, 8.210885184401044e-08]
0 76 988 6.059413317647314e-11 0.05321189400001458 [-1.1459166759213041e-06, 2.3791854191862327e-06, -1.635779801695478e-07]
217 6674 86762 3.612970622348468e-11 4.514490236999791 [5.277915985048911e-06, -6.495279354943544e-07, -2.0135649203276962e-07]
14 466 6058 5.434926944334299e-11 0.3489901769999051 [-3.88725180963351e-06, 1.980356237926568e-06, 1.4294936480194482e-08]
184 5467 71071 3.906394272156226e-11 3.753636796000137 [2.428913379493551e-06, -4.6267691202735443e-07, -5.569885390853908e-07]
13 483 6279 7.977595933926404e-11 0.34214872100028515 [4.5456077321004884e-06, 1.6988352490270822e-09, 7.688522668544344e-07]
103 2831 36803 4.5639466149277846e-11 1.8209755549996771 [-2.953622626436367e-06, -8.797180756899836e-08, -6.069447185750232e-07]
25 896 11648 7.303869228955957e-11 0.6258279010003207 [-5.392286903131612e-07, 1.7105323819162171e-06, -6.59459736551543e-07]
10 272 3536 6.630005162938634e-11 0.21068555099964215 [-7.906653612154822e-06, -6.147814108544654e-07, 7.292774138404454e-09]
104 2967 38571 8.001938572257794e-11 3.1645606550000593 [7.465993757339946e-06, 1.3831308773798947e-06, 2.2688791722615198e-07]
124 4190 54470 4.573824440558907e-11 2.8682287889996587 [5.9557582777744125e-06, -9.905482934964507e-07, -6.747803530211361e-08]
7 315 4095 9.849293234287835e-11 0.2118445360001715 [-8.92270482722313e-06, 1.185094434619838e-06, -2.1985865276259355e-07]
69 1962 25506 9.350624900516911e-11 1.3581162990003577 [6.388837798779476e-07, -2.8046510984867092e-06, 3.7996577054454424e-07]
30 881 11453 8.314115859895482e-11 0.6173598959999254 [-5.49014317131388e-06, -1.2684848905747134e-06, -6.075273440863954e-07]
20 630 8190 9.068997322443517e-11 0.43519516099968314 [-4.945932165059345e-06, -1.699054666186726e-06, 6.112271317289317e-07]
86 2404 31252 7.029186997726661e-11 1.71302938000008 [-1.961750518429655e-06, 7.12926806278554e-07, 7.833310830651507e-07]
45 1434 18642 9.316618294470776e-11 0.9368048970000018 [-3.96106523267356e-06, 2.5063940993601865e-06, -3.828319651509904e-07]
38 1062 13806 6.625006447816777e-11 0.7594137360001696 [7.675655135374529e-06, -8.444366805826697e-07, -4.512755763739241e-08]
9 297 3861 2.1377134431116694e-11 0.1975956450000922 [-3.536459287510572e-06, 4.3101367003068336e-07, -2.6481809419606735e-07]
14 494 6422 5.381646800580556e-11 0.3373304579999967 [1.2682651150481572e-06, -1.5252301182228097e-06, -5.380028110374311e-07]
42 1306 16978 6.529428303124616e-11 0.9181525090002651 [-1.0688773901267627e-06, -1.463940925284912e-06, 6.536096222431363e-07]
40 1181 15353 5.428285501699876e-11 0.7957656920002592 [-5.361466527044506e-06, 1.284908968023189e-06, 3.004599995892285e-07]
45 1409 18317 6.03613153318731e-11 0.9510648119999132 [6.209993448209443e-06, 1.427870163515715e-06, -1.187082417730526e-07]
10 413 5369 5.501443515780195e-11 0.31570292499964125 [-3.4322992239053685e-06, -1.265235730444102e-06, -5.217810140227062e-07]
64 1868 24284 7.990048401921884e-11 1.2177083750002566 [-7.516428946780437e-07, 2.746122423344826e-06, -1.980816331244838e-07]
48 1541 20033 8.453398976043497e-11 1.0705509509998592 [-3.2831993882431756e-06, 1.5406213810308147e-06, 7.072442940072522e-07]
133 4204 54652 5.189073062020323e-11 3.5179469869999593 [-6.5621257105901165e-06, -9.395130303747601e-07, 4.8881859372794836e-09]
30 984 12792 9.852982246151018e-11 0.6953277839998009 [-8.107550875711795e-07, 2.3689452116062885e-06, 6.461693624241556e-07]
11 308 4004 9.839139424169585e-11 0.20857586400006767 [1.0820795235300484e-06, -3.0854725865660906e-06, 1.4209459250599255e-07]
23 1071 13923 4.515245088994131e-11 0.7133192569999665 [4.0947096600389735e-06, -1.1403707566455576e-06, 3.9219063048218285e-07]
12 367 4771 9.43777877160996e-11 0.2439115430001948 [5.907345460123769e-06, 2.0378824313004954e-06, -4.236910347508254e-07]
4 124 1612 2.401576206003572e-11 0.09339800400039167 [3.5283568446832775e-06, -1.0564635787448492e-06, -6.36637341402971e-08]
51 1679 21827 9.160134041854059e-11 1.131147779999992 [-5.854918445421377e-06, -2.257570239708757e-07, -7.537347549190182e-07]
64 2146 27898 5.708939210836426e-11 1.4285536520001187 [-4.178076863240383e-06, -1.6145844685638984e-06, -3.682965621878922e-07]
7 417 5421 7.155540513837232e-11 0.28597151199983273 [-4.288627501367062e-06, -2.229361822651487e-06, 1.8607895985121e-07]
41 1194 15522 2.7241875783450033e-11 0.7653880460002256 [-2.629184715006479e-06, 5.315970494235689e-07, 4.183695649574416e-07]
87 3171 41223 3.860959796594216e-11 2.8326135679999425 [2.0770591109511927e-06, 1.6941439412924875e-06, 2.365203263437704e-07]
66 2258 29354 8.897929495419521e-11 1.5895182150002256 [-1.8964239447286866e-06, 1.976296788663148e-06, 6.806275134554302e-07]
24 971 12623 2.5211950448422543e-11 0.646216677999746 [2.454140553200027e-06, -1.2099966901938985e-06, 2.1326567212656888e-07]
59 1777 23101 8.249739620064662e-11 1.1818883400001141 [4.793605077456684e-06, -2.3094227778885513e-06, -2.486847581120199e-07]
59 1657 21541 9.079228735427127e-11 1.0857563479999044 [-9.344649516603729e-06, 2.9957774137630127e-07, 1.603853027813866e-07]

