119 3353 43589 6.355375990621867e-11 2.080766307999511 [-2.0224263479083546e-08, -1.078160335362026e-06, 7.635517131455917e-06]
23 853 11089 9.027412058199558e-11 0.5049192989999938 [-5.755894896349331e-08, -5.923685628829078e-06, 4.696141298446967e-06]
17 660 8580 8.538758578792058e-11 0.4247112739994918 [-8.560427328341269e-08, -2.7919920579959676e-06, 2.0764031622486033e-06]
7 273 3549 8.59134002453445e-11 0.16871832299966627 [4.150965707661833e-08, 8.065176556439438e-06, 1.9067802843064247e-06]
309 9731 126503 8.173349309848808e-11 6.282538537000619 [-2.129846311061269e-08, 2.176783158304031e-06, 8.512277184835485e-06]
18 550 7150 9.570473220273613e-11 0.4007665139997698 [7.812271498320195e-08, 1.0558520771869872e-06, 5.7929545682984595e-06]
41 1248 16224 8.193562793870806e-11 0.9019334260001415 [-1.0219984829854527e-08, -8.680372174780244e-06, 2.3542060119676015e-06]
148 4939 64207 5.647295261117488e-11 4.109251301000768 [-1.3457997599605388e-08, 4.295636357365799e-06, -6.017415051543488e-06]
227 6500 84500 9.733903933104275e-11 4.352470417999939 [-8.714387781363591e-08, 1.9400632110531745e-06, -4.199361816298012e-06]
314 9630 125190 1.3885954408937435e-11 6.054169185000319 [2.51253819557309e-08, -5.464350216392535e-08, 2.751385162494524e-06]
25 628 8164 7.760079922981415e-11 0.43027878800057806 [2.5522530969144313e-08, 8.19117462976164e-06, -1.9978642456018124e-06]
63 1934 25142 9.205378446807748e-11 1.2267766329996448 [2.309157567205828e-08, -6.640699625235018e-06, 6.528605079593728e-06]
71 2166 28158 8.867870421234234e-11 2.012295530999836 [-5.743133781896173e-09, -5.06870752059244e-06, -7.915622049255789e-06]
155 4302 55926 9.211911484804198e-11 2.925484340999901 [-1.1362757268784215e-09, -6.345267136398157e-06, 7.200263091756619e-06]
39 1531 19903 9.420031847248642e-11 0.9630376330005674 [1.792677218472369e-08, -6.762460172248352e-06, 6.727240093947248e-06]
