0 110 1430 7.222168458120016e-05 0.04824285299946496 [1.000183518361961, 0.99951743515416]
0 92 1196 9.995451864260355e-05 0.03960817499955738 [0.990003108120534, 0.9801190658631266]
0 90 1170 1.5620421099682227e-05 0.04341715499958809 [0.9960516319915989, 0.9921364067039391]
0 225 2925 4.711474866577262e-05 0.1197228749997521 [1.0068389281361143, 1.013665991844259]
0 206 2678 7.791208591455842e-05 0.12250162300006195 [1.0061012134777632, 1.0128775175781424]
0 177 2301 3.329604918184476e-05 0.07604473599985795 [1.0055893406275658, 1.0110665580925515]
0 53 689 5.171114891328301e-05 0.027339436000147543 [1.004501960177077, 1.0084634429284811]
0 27 351 5.868237927434448e-05 0.013937297999291332 [1.0002352090454865, 1.0012361564817265]
0 45 585 5.9565371011975655e-05 0.025832348000221828 [1.0076698731240694, 1.0154845044111478]
0 45 585 5.760191878672427e-05 0.024029193999922427 [0.9964869286053968, 0.9936589562534551]
0 268 3484 9.243424078371213e-05 0.12912955399951898 [0.9920572348364892, 0.9836358310397445]
0 74 962 8.867618843639387e-05 0.04403718999947159 [0.9918516178588874, 0.984241649401072]
0 49 637 2.721756294372164e-06 0.03946248200008995 [1.0016236357995445, 1.0032791589606187]
0 34 442 3.7881499053769316e-05 0.028150129000096058 [1.0024846965251415, 1.0044124701303567]
0 101 1313 3.826539162686813e-07 0.04530096500002401 [0.9996554147796021, 0.9993623209506455]
0 120 1560 9.668122118939695e-05 0.053952823000145145 [0.9905195885699443, 0.9813898813422797]
0 105 1365 8.630341518118662e-05 0.059821566000209714 [1.0090496425942421, 1.01839111892694]
0 108 1404 1.7057092888652522e-05 0.0514527180002915 [0.9998036031912082, 1.0000197800578674]
0 184 2392 9.533782897455252e-05 0.08104129200000898 [0.9903974358264035, 0.9810639591057335]
0 77 1001 7.626159941184146e-05 0.03796940699976403 [0.9918388995410267, 0.9834336287907275]
0 103 1339 7.799669766292514e-05 0.04939640700013115 [0.9918390696432554, 0.9840823184080076]
0 70 910 9.725678028258483e-05 0.037031030999969516 [1.0098046249968349, 1.019811498945894]
0 75 975 8.210889935341237e-05 0.031691546999354614 [0.9910648286904182, 0.982360213379405]
0 63 819 8.108993057622016e-05 0.02642139399995358 [0.9912935225068394, 0.982892786456658]
0 70 910 2.0265721044595704e-05 0.028734614999848418 [1.0026735380954626, 1.0057164106213734]
0 85 1105 9.819420655754966e-05 0.036796897999920475 [0.9901143258549934, 0.9803947634412359]
0 68 884 9.748991145642482e-05 0.036588636000487895 [0.991824927154877, 0.9842703836554209]
0 138 1794 7.10054988650595e-05 0.06882197199956863 [0.9951141589514638, 0.9895656468771202]
0 53 689 7.893337551445522e-05 0.02272864699989441 [0.9920282599773845, 0.9837278347792245]
0 115 1495 7.63914047160373e-06 0.04797280000002502 [1.0006042531599053, 1.001478575327284]
0 82 1066 8.420121323701988e-05 0.03465484499974991 [1.0024599473196472, 1.0040419218151597]
0 200 2600 1.3389862115067323e-05 0.09992443400005868 [0.997846978586387, 0.9959944703667465]
0 53 689 3.286896200750575e-05 0.022220065000510658 [1.000708578853918, 1.0008487408343723]
0 66 858 1.5524248140418568e-05 0.02633180100019672 [0.998074604764615, 0.9964966767861188]
0 70 910 7.258657935480225e-05 0.02807737399962207 [1.0076881965739017, 1.0158026283697659]
0 152 1976 9.732876373453964e-05 0.06874506799977098 [0.9901588456948095, 0.9804838538964105]
0 95 1235 8.49812081488935e-05 0.04884000800029753 [0.9972573952476372, 0.9954024221835762]
0 153 1989 1.200154766766424e-05 0.06743650699991122 [1.0027875755081117, 1.005377228364228]
0 117 1521 5.0105187754786e-05 0.04661697400024423 [0.9929693380186824, 0.9859059490873712]
0 22 286 8.080279172057784e-05 0.009555757000271115 [1.006381920931004, 1.0121715314655895]
0 41 533 4.2060470562543216e-05 0.017356027999994694 [1.0064570389122385, 1.0130163615257493]
0 20 260 7.31771571745783e-05 0.008832734999487002 [1.0066493449438432, 1.013881079938745]
0 26 338 6.593405650824047e-05 0.014201228999809246 [0.9946479765648356, 0.9899352518649328]
0 134 1742 1.328292618823737e-06 0.08152639499985526 [1.0011506668557475, 1.0022961320994503]
0 204 2652 2.410017666697079e-05 0.09559363399966969 [1.0035586792462834, 1.00746819392955]
0 45 585 1.4687844956566625e-05 0.023418638000293868 [0.9972826393996304, 0.9943024074811726]
0 75 975 9.850219251874971e-05 0.037016160000348464 [0.9901451775887516, 0.9805051446089124]
0 71 923 8.928769009887105e-05 0.036641429999690445 [1.0094345911656943, 1.0190107466376936]
0 63 819 7.936236011670035e-05 0.02995109599942225 [0.9924925210348297, 0.9855209887104043]
0 38 494 7.300525735252198e-05 0.01754191100008029 [1.0080597041165895, 1.0159007048189483]
