0 25 325 3.000271902192333 0.012058533999152132 [-0.0009884757898811689, -0.9998993498225159]
0 22 286 3.0002567950768015 0.010045830000308342 [0.0003326299567559003, -0.9991838574996478]
0 21 273 3.000048612092976 0.009966971001631464 [0.0004404097433582186, -0.9997824465827521]
0 21 273 3.000316911351708 0.010338000000047032 [0.000918372804056354, -0.9992272765382154]
0 36 468 3.000083255102747 0.016261974998997175 [-0.0005078091169983434, -1.0003684461547295]
0 18 234 3.000351054683376 0.008784124998783227 [-0.0010311215855824583, -0.9997480490846161]
0 14 182 3.0003768754397764 0.006841122998594074 [0.00128228897761728, -0.9995504568324773]
0 19 247 3.0001289685004746 0.00933319800060417 [0.00047381546872116284, -0.9994552002215517]
0 37 481 3.0001718306957303 0.01693776399952185 [0.0003923665570284727, -0.9993381609032215]
0 21 273 3.000387879468511 0.009930514001098345 [0.00010866184887043626, -1.0009164550179834]
0 20 260 3.000360539438303 0.009456006999243982 [-0.0012586001280648438, -1.0004094331378963]
0 31 403 3.0002472879847346 0.014353602999108261 [0.001011340101002372, -0.9995468332472822]
0 26 338 3.000313895438336 0.011742484000933473 [-0.0005845576139121211, -1.0008864280368344]
0 16 208 3.000340214914203 0.007325063999815029 [-0.0012256360519451812, -1.0003747635007396]
0 21 273 3.0000717321467665 0.00994450100006361 [0.00044618638705452455, -1.000137969549999]
0 38 494 3.000323489246971 0.016496895999807748 [-0.0007650998968072691, -1.0008570674285948]
0 20 260 3.000311172773752 0.00893725199966866 [0.0010181506295834524, -0.9993199325955793]
0 9 117 3.0000718237768833 0.004664997999498155 [-0.00039391505606552364, -0.9998059737555345]
0 22 286 3.0003579328291976 0.010190348999458365 [0.0001432810107206139, -0.999059323758587]
0 26 338 3.0002242765123133 0.012539659999674768 [0.0008837837551131044, -0.9994432500243563]
0 13 169 3.0001815292541814 0.011197968999113073 [0.0008016583803746591, -1.0000915230330156]
0 372 4836 3.0001364659614644 0.17543928400118602 [0.00046926907735619244, -0.9994339384092501]
0 16 208 3.0000687690308974 0.008724471999812522 [-0.0005077688131391488, -1.0002845258627557]
0 27 351 3.0001662555401003 0.014802975998463808 [0.0006003469246895002, -1.0002934437903097]
0 18 234 3.0003226305672803 0.01213631000064197 [0.00036883011879763894, -0.9990852197303722]
0 38 494 3.0002499430537126 0.02277119399877847 [0.001007628576081664, -0.9999707428104037]
0 18 234 3.0002680205255534 0.013310870999703184 [-6.388527234713883e-05, -0.9992292027602231]
0 10000 130000 83.99999999999746 4.402407518999098 [1.7999999910219524, 0.19999999613220693]
0 31 403 3.000256925111379 0.01417548500103294 [0.00029242014621791635, -0.9991848222175744]
0 13 169 3.000283584979889 0.006558912000400596 [0.00016531244178187143, -1.000759517838668]
0 102 1326 3.0002906935405225 0.04697537799984275 [0.00098648281725611, -1.0001601172711057]
0 24 312 3.000293399240302 0.013507961000868818 [-0.0006966854807835682, -1.0008267116997502]
0 116 1508 3.000043478467186 0.057449365998763824 [-0.00036695127749972883, -1.0002663156277891]
0 21 273 3.0003040145497404 0.01041779000115639 [5.5568503093647234e-05, -1.0008235190363293]
0 18 234 3.00012612730013 0.008728394999707234 [-0.0005326526027449008, -0.9997530845313366]
0 10000 130000 83.99999999999751 3.9139724140004546 [1.799999987367114, 0.19999999040611222]
0 31 403 3.0002823683139686 0.014140362000034656 [-0.0011194518314862453, -1.0003049950876255]
0 29 377 3.0003993421471566 0.01265778400011186 [-0.0003202981203559616, -1.0010127974649277]
0 19 247 3.000143467725757 0.00828312600060599 [0.0001947420157135558, -0.9993922499886875]
0 18 234 3.000101068449421 0.008140807000017958 [-0.00033093146104686434, -0.9996618607202432]
0 23 299 3.000321638615954 0.010198555999522796 [-0.001187411781181996, -1.0003953561095806]
0 36 468 3.00027213789957 0.01521895800033235 [-0.0008310228961108294, -1.0007271090469423]
0 19 247 3.0003356371819114 0.008286200998554705 [-0.0010697473336491957, -0.9998412636422195]
0 25 325 3.000178108076353 0.010912943998846458 [0.0007519311820697867, -0.9994683583042707]
0 20 260 3.000224245108688 0.009057482000571326 [0.00024581104415310334, -1.000636375158608]
0 14 182 3.0002828395560615 0.00671972999953141 [-0.0008218915013737307, -0.9996543222044542]
0 21 273 3.0003963545742605 0.009194911999657052 [-0.0005683647756676204, -1.0010071682595179]
0 40 520 3.0003064196036004 0.017276356000365922 [0.0011057902758726539, -0.9994532572745557]
0 21 273 3.000382488135626 0.009787685999981477 [-0.001023042615644661, -1.0008383184607035]
0 29 377 3.0001362444395356 0.013109346000419464 [-0.0004723919799159566, -0.9996714585349928]
